Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,1uF,C1518208
"C10, C11, C19, C24, C25, C26, C27, C28, C29, C30, C31, C32, C6, C7, C8, C9",0402,16,100nF,C1525
"C12, C13",0402,2,10uF,C315248
"C14, C15",0402,2,1.2pF,C76899
"C16, C17",0402,2,12pF,C106201
"C18, C20, C33, C34, C35, C36, C37, C38, C39",0402,9,100pF,C106200
"C2, C21, C22, C23",0805,4,10uF,C440198
"C3, C5",1210,2,47uF,C5440143
D2,0402,1,LTST-C281KRKT,C364556
D7,LED-SMD_4P-L1.6-W1.5-BR,1,XL-3227SURUGC,C965840
G2,1551RFLGY,1,Hammond_1551RFLGY,
J1,USB-3.1-SMD_U262-161N-4BVC11,1,USB_C_Receptacle_USB2.0_16P,C319148
J2,RJ45-TH_RC01812,1,8P8C_LED_Shielded,C708645
J3,SMA-SMD_BWSMA-KE-P001,1,Conn_Coaxial,C496550
J4,IDC-SMD_10P-P1.27-3220-10-0300-00,1,Conn_02x05_Odd_Even,C42372555
J5,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,Conn_01x02,C8387
J6,TerminalBlock_Plug_Invisible,1,WJ15EDGK-3.81-2P,C8466
"L1, L2",0402,2,2.2nH,C91240
L4,L_Changjiang_FTC404030S,1,4.7uH,C39676083
"Q1, Q2",SOT-23,2,AO3401A,C15127
"Q3, Q4, Q5",SOT-23,3,BC817-40-7-F,C435867
"R1, R19, R23, R24, R30, R5",0402,6,120R,C25079
"R10, R11",0402,2,22R,C25092
"R12, R13, R15, R16, R17",0402,5,100R,C25076
R18,0402,1,0R,C17168
R2,0402,1,22K,C25768
"R21, R22, R37, R38, R39, R40, R44",0402,7,10K,C25744
"R25, R26, R27, R28, R29, R41",0402,6,100K,C25741
"R3, R4",0402,2,1K,C11702
"R42, R43, R8, R9",0402,4,5K1,C25905
"SW_BOOT1, SW_RST1, SW_USR1",SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0-H4.3,3,KH-6X6X4.3H-STM,C2837530
"TP1, TP2",TestPoint_Pad_D1.5mm,2,TestPoint,
U1,VQFN-40-1EP_5x5mm_P0.4mm_EP3.3x3.3mm_ThermalVias,1,ESP32-C6,C5364646
"U10, U7, U8, U9",UQFN-16_1.8x2.6mm_P0.4mm,4,TMUX1208QRSVRQ1,C2876797
U11,SOT-23-5,1,TPS70950DBVR,C96028
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485,C8963
U3,Winbond_USON-8-2EP_3x4mm_P0.8mm_EP0.2x0.8mm,1,W25Q64JWUUIQ,C6604692
U4,SOT-23-6,1,TPS54302DDCR,C311983
"U5, U6",QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,2,PCF8574RGTR(UMW),C22396384
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,C37635390
